Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
New Nric,Chrome 127.0.0.0,,,14-08-2024 11:47:03,14-08-2024 11:52:34,5m - 30.495s,PASSED
,,,,,,,
Test Cases/TC01_NEW_NRIC,Chrome 127.0.0.0,Scenario 1 : Take new NRIC and do the ekyc flow,,14-08-2024 11:47:04,14-08-2024 11:52:34,5m - 29.984s,PASSED
custreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Customer Risk Rating,,14-08-2024 11:47:05,14-08-2024 11:47:05,0.071s,PASSED
custloan_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,,,14-08-2024 11:47:05,14-08-2024 11:47:05,0.003s,PASSED
println(custloan_id),Chrome 127.0.0.0,,,14-08-2024 11:47:05,14-08-2024 11:47:05,0.008s,PASSED
"response1 = sendRequest(findTestObject(""EKYC Flow/Customer Risk Rating"", [""cust_req_id"":custreq_id, ""cust_loan_id"":custloan_id, ""NRIC"":New_Nric]))",Chrome 127.0.0.0,,,14-08-2024 11:47:05,14-08-2024 11:47:11,6.201s,PASSED
println(response1.getResponseBodyContent()),Chrome 127.0.0.0,,,14-08-2024 11:47:11,14-08-2024 11:47:11,0.022s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,14-08-2024 11:47:11,14-08-2024 11:47:12,0.306s,PASSED
"println(verifyElementPropertyValue(response1, ""evaluationStatus"", ""Approve""))",Chrome 127.0.0.0,,,14-08-2024 11:47:12,14-08-2024 11:47:12,0.147s,PASSED
"println(""**************CUSTOMER RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,14-08-2024 11:47:12,14-08-2024 11:47:12,0.002s,PASSED
indreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Industry Risk Rating,,14-08-2024 11:47:12,14-08-2024 11:47:12,0.001s,PASSED
"response2 = sendRequest(findTestObject(""EKYC Flow/Industry Risk Rating"", [""ind_loan_id"":custloan_id, ""ind_req_id"":indreq_id, ""NRIC"":New_Nric]))",Chrome 127.0.0.0,,,14-08-2024 11:47:12,14-08-2024 11:47:13,1.103s,PASSED
println(response2.getResponseBodyContent()),Chrome 127.0.0.0,,,14-08-2024 11:47:13,14-08-2024 11:47:13,0.006s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,14-08-2024 11:47:13,14-08-2024 11:47:13,0.009s,PASSED
"println(verifyElementPropertyValue(response2, ""riskAssessmentType"", ""PROHIBITED_INDUSTRY""))",Chrome 127.0.0.0,,,14-08-2024 11:47:13,14-08-2024 11:47:13,0.073s,PASSED
"println(verifyElementPropertyValue(response2, ""evaluationStatus"", ""Reject""))",Chrome 127.0.0.0,,,14-08-2024 11:47:13,14-08-2024 11:47:13,0.046s,PASSED
"println(""**************INDUSTRY RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,14-08-2024 11:47:13,14-08-2024 11:47:13,0.001s,PASSED
comreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Company Risk Rating,,14-08-2024 11:47:13,14-08-2024 11:47:13,0.001s,PASSED
"response3 = sendRequest(findTestObject(""EKYC Flow/Company Risk Rating"", [""com_loan_id"":custloan_id, ""com_req_id"":comreq_id, ""NRIC"":New_Nric]))",Chrome 127.0.0.0,,,14-08-2024 11:47:13,14-08-2024 11:47:14,0.763s,PASSED
println(response3.getResponseBodyContent()),Chrome 127.0.0.0,,,14-08-2024 11:47:14,14-08-2024 11:47:14,0.005s,PASSED
getStatusCode()).isEqualTo(200),Chrome 127.0.0.0,,,14-08-2024 11:47:14,14-08-2024 11:47:14,0.007s,PASSED
"println(verifyElementPropertyValue(response3, ""riskAssessmentType"", ""COMPANY_RISK""))",Chrome 127.0.0.0,,,14-08-2024 11:47:14,14-08-2024 11:47:14,0.065s,PASSED
"println(verifyElementPropertyValue(response3, ""evaluationStatus"", ""Reject""))",Chrome 127.0.0.0,,,14-08-2024 11:47:14,14-08-2024 11:47:14,0.049s,PASSED
"println(""**************COMPANY RISK RATING PASSED**************"")",Chrome 127.0.0.0,,,14-08-2024 11:47:14,14-08-2024 11:47:14,0.002s,PASSED
statreq_id = Math.floor(Math.random() * 9000000000) + 1000000000,Chrome 127.0.0.0,Member Onboarding Status,,14-08-2024 11:47:14,14-08-2024 11:47:14,0.001s,PASSED
